ID	logFC	P.Value	posit/negati	vim/mdk	Accession			
HMGB1	0.772	0.009	1	vim	P09429			
ILF2	0.785	0.007	1	vim	Q12905			
HNRNPC	0.8	0.005	1	vim	P07910			
GOT2	0.803	0.005	1	vim	P00505			
HNRNPD	0.804	0.005	1	vim	Q14103			
ANG	0.805	0.005	1	mdk	P03950			
LGALS3BP	0.805	0.005	1	mdk	Q08380			
OGN	0.808	0.005	1	mdk	P20774			
TGFBR3	0.811	0.004	1	vim	Q03167			
SPON1	0.812	0.004	1	mdk	Q9HCB6			
H2AFX	0.814	0.004	1	vim	P16104			
PARP1	0.814	0.004	1	vim	P09874			
SNRPB	0.814	0.004	1	vim	P14678			
XRCC6	0.814	0.004	1	vim	P12956			
HSPE1	0.826	0.003	1	vim	P61604			
RBMX	0.829	0.003	1	vim	P38159			
COL6A3	0.83	0.003	1	mdk	P12111			
PTK7	0.83	0.003	1	vim	Q13308			
LMNB2	0.836	0.003	1	vim	Q03252			
HIST1H2AE	0.84	0.002	1	vim	P04908			
HIST1H2AI	0.84	0.002	1	vim	P0C0S8			
HIST1H4I	0.857	0.002	1	vim	P62805			
GPC1	0.862	0.001	1	mdk	P35052			
LOXL2	0.862	0.001	1	mdk	Q9Y4K0			
PIK3IP1	0.862	0.001	1	vim	Q96FE7			
ECM2	0.868	0.001	1	mdk	O94769			
FGA	0.868	0.001	1	mdk	P02671			
HIST1H2BK	0.87	0.001	1	mdk	O60814			
NID2	0.87	0.001	1	mdk	Q14112			
TOP1	0.877	0.001	1	mdk	P11387			
PRDX3	0.878	0.001	1	vim	P30048			
ST13	0.882	0.001	1	vim	P50502			
MDH2	0.886	0.001	1	vim	P40926			
HIST1H2BJ	0.887	0.001	1	vim	P06899			
HIST1H3A	0.891	0.001	1	mdk	P68431			
LMNA	0.892	0.001	1	vim	P02545			
LMNB1	0.906	0	1	vim	P20700			
SNRPD3	0.909	0	1	vim	P62318			
SNRPE	0.912	0	1	vim	P62304			
COL12A1	0.928	0	1	mdk	Q99715			
GPC6	0.951	0	1	mdk	Q9Y625			
GPC4	0.954	0	1	mdk	O75487			
SMOC2	0.96	0	1	mdk	Q9H3U7			
